name,rank,matches,wins,losses,draws,year,win_perc,loss_perc,draw_perc,era
Torrie Wilson,64,50,44,6,0,2002,88.0,12.0,0.0,Ruthless Agression
Al Snow,65,48,11,34,3,2002,22.92,70.83,6.25,Ruthless Agression
Dawn Marie,66,48,13,35,0,2002,27.08,72.92,0.0,Ruthless Agression
Hugh Morrus,67,48,15,31,2,2002,31.25,64.58,4.17,Ruthless Agression
Ric Flair,68,48,12,34,2,2002,25.0,70.83,4.17,Ruthless Agression
Mr. Perfect,69,46,15,30,1,2002,32.61,65.22,2.17,Ruthless Agression
The Big Valbowski,70,45,21,23,1,2002,46.67,51.11,2.22,Ruthless Agression
Matt Hardy Version 1.0,71,44,18,26,0,2002,40.91,59.09,0.0,Ruthless Agression
Sean O'Haire,72,42,20,22,0,2002,47.62,52.38,0.0,Ruthless Agression
Diamond Dallas Page,73,41,26,13,2,2002,63.41,31.71,4.88,Ruthless Agression
Charlie Haas,1,154,90,63,1,2003,58.44,40.91,0.65,Ruthless Agression
Chris Benoit,2,152,100,50,2,2003,65.79,32.89,1.32,Ruthless Agression
Rob Van Dam,3,149,102,43,4,2003,68.46,28.86,2.68,Ruthless Agression
Eddie Guerrero,4,146,90,55,1,2003,61.64,37.67,0.68,Ruthless Agression
Shelton Benjamin,5,145,83,61,1,2003,57.24,42.07,0.69,Ruthless Agression
Jamie Noble,6,141,37,101,3,2003,26.24,71.63,2.13,Ruthless Agression
Albert,7,140,47,92,1,2003,33.57,65.71,0.71,Ruthless Agression
Rey Mysterio,8,138,84,51,3,2003,60.87,36.96,2.17,Ruthless Agression
Brock Lesnar,9,137,96,39,2,2003,70.07,28.47,1.46,Ruthless Agression
John Cena,10,137,54,82,1,2003,39.42,59.85,0.73,Ruthless Agression
D-Von Dudley,11,134,80,53,1,2003,59.7,39.55,0.75,Ruthless Agression
Christian,12,132,55,74,3,2003,41.67,56.06,2.27,Ruthless Agression
Bubba Ray Dudley,13,130,76,53,1,2003,58.46,40.77,0.77,Ruthless Agression
Tajiri,14,127,74,51,2,2003,58.27,40.16,1.57,Ruthless Agression
Lance Storm,15,125,65,59,1,2003,52.0,47.2,0.8,Ruthless Agression
Matt Hardy Version 1.0,16,124,75,47,2,2003,60.48,37.9,1.61,Ruthless Agression
Maven,17,122,66,56,0,2003,54.1,45.9,0.0,Ruthless Agression
Kane,18,121,68,51,2,2003,56.2,42.15,1.65,Ruthless Agression
Rico,19,121,36,85,0,2003,29.75,70.25,0.0,Ruthless Agression
Test,20,120,45,74,1,2003,37.5,61.67,0.83,Ruthless Agression
Hurricane Helms,21,120,80,40,0,2003,66.67,33.33,0.0,Ruthless Agression
Steven Richards,22,117,31,86,0,2003,26.5,73.5,0.0,Ruthless Agression
Rhyno,23,116,51,63,2,2003,43.97,54.31,1.72,Ruthless Agression
The Big Show,24,115,30,84,1,2003,26.09,73.04,0.87,Ruthless Agression
Chris Jericho,25,113,44,65,4,2003,38.94,57.52,3.54,Ruthless Agression
Nunzio,26,110,37,72,1,2003,33.64,65.45,0.91,Ruthless Agression
Scott Steiner,27,109,70,39,0,2003,64.22,35.78,0.0,Ruthless Agression
Trish Stratus,28,107,49,55,3,2003,45.79,51.4,2.8,Ruthless Agression
Chuck Palumbo,29,105,38,67,0,2003,36.19,63.81,0.0,Ruthless Agression
Booker T,30,104,69,32,3,2003,66.35,30.77,2.88,Ruthless Agression
Molly Holly,31,100,38,62,0,2003,38.0,62.0,0.0,Ruthless Agression
Rene Dupree,32,100,46,54,0,2003,46.0,54.0,0.0,Ruthless Agression
Spike Dudley,33,100,48,51,1,2003,48.0,51.0,1.0,Ruthless Agression
Rosey,34,99,37,62,0,2003,37.37,62.63,0.0,Ruthless Agression
Tommy Dreamer,35,99,24,75,0,2003,24.24,75.76,0.0,Ruthless Agression
Sean O'Haire,36,98,66,31,1,2003,67.35,31.63,1.02,Ruthless Agression
Victoria,37,98,45,53,0,2003,45.92,54.08,0.0,Ruthless Agression
Funaki,38,92,27,65,0,2003,29.35,70.65,0.0,Ruthless Agression
Rikishi,39,91,51,38,2,2003,56.04,41.76,2.2,Ruthless Agression
Billy Kidman,40,90,54,36,0,2003,60.0,40.0,0.0,Ruthless Agression
Johnny Stamboli,41,89,32,56,1,2003,35.96,62.92,1.12,Ruthless Agression
Rodney Mack,42,88,49,39,0,2003,55.68,44.32,0.0,Ruthless Agression
Doug Basham,43,87,55,32,0,2003,63.22,36.78,0.0,Ruthless Agression
Chavo Guerrero,44,85,36,48,1,2003,42.35,56.47,1.18,Ruthless Agression
Danny Basham,45,84,54,30,0,2003,64.29,35.71,0.0,Ruthless Agression
Randy Orton,46,83,39,41,3,2003,46.99,49.4,3.61,Ruthless Agression
Triple H,47,83,49,31,3,2003,59.04,37.35,3.61,Ruthless Agression
Kurt Angle,48,79,59,18,2,2003,74.68,22.78,2.53,Ruthless Agression
Mark Jindrak,49,79,47,32,0,2003,59.49,40.51,0.0,Ruthless Agression
Shannon Moore,50,79,19,60,0,2003,24.05,75.95,0.0,Ruthless Agression
Val Venis,51,79,42,35,2,2003,53.16,44.3,2.53,Ruthless Agression
Spanky,52,71,31,40,0,2003,43.66,56.34,0.0,Ruthless Agression
Orlando Jordan,53,70,29,41,0,2003,41.43,58.57,0.0,Ruthless Agression
Garrison Cade,54,67,37,30,0,2003,55.22,44.78,0.0,Ruthless Agression
Ultimo Dragon,55,63,39,24,0,2003,61.9,38.1,0.0,Ruthless Agression
Bradshaw,56,59,32,27,0,2003,54.24,45.76,0.0,Ruthless Agression
Mark Henry,57,59,38,21,0,2003,64.41,35.59,0.0,Ruthless Agression
Bill DeMott,58,57,34,23,0,2003,59.65,40.35,0.0,Ruthless Agression
Batista,59,53,17,35,1,2003,32.08,66.04,1.89,Ruthless Agression
Gail Kim,60,53,26,27,0,2003,49.06,50.94,0.0,Ruthless Agression
The Undertaker,61,53,36,16,1,2003,67.92,30.19,1.89,Ruthless Agression
Jazz,62,52,24,27,1,2003,46.15,51.92,1.92,Ruthless Agression
Ric Flair,63,52,14,37,1,2003,26.92,71.15,1.92,Ruthless Agression
Rob Conway,64,51,9,42,0,2003,17.65,82.35,0.0,Ruthless Agression
Nidia,65,50,19,31,0,2003,38.0,62.0,0.0,Ruthless Agression
Torrie Wilson,66,49,33,16,0,2003,67.35,32.65,0.0,Ruthless Agression
Goldust,67,48,31,17,0,2003,64.58,35.42,0.0,Ruthless Agression
Jacqueline,68,48,11,37,0,2003,22.92,77.08,0.0,Ruthless Agression
Christopher Nowinski,69,47,21,26,0,2003,44.68,55.32,0.0,Ruthless Agression
Brian Kendrick,70,45,16,29,0,2003,35.56,64.44,0.0,Ruthless Agression
Billy Gunn,71,44,24,20,0,2003,54.55,45.45,0.0,Ruthless Agression
Goldberg,72,43,36,4,3,2003,83.72,9.3,6.98,Ruthless Agression
Jamal,73,43,10,33,0,2003,23.26,76.74,0.0,Ruthless Agression
Lita,74,41,27,13,1,2003,65.85,31.71,2.44,Ruthless Agression
Chris Benoit,1,164,134,27,3,2004,81.71,16.46,1.83,Ruthless Agression
Batista,2,163,59,103,1,2004,36.2,63.19,0.61,Ruthless Agression
Randy Orton,3,153,111,39,3,2004,72.55,25.49,1.96,Ruthless Agression
Rhyno,4,149,59,88,2,2004,39.6,59.06,1.34,Ruthless Agression
Chris Jericho,5,148,100,46,2,2004,67.57,31.08,1.35,Ruthless Agression
Rey Mysterio,6,146,88,56,2,2004,60.27,38.36,1.37,Ruthless Agression
Rene Dupree,7,141,54,85,2,2004,38.3,60.28,1.42,Ruthless Agression
Shelton Benjamin,8,139,85,50,4,2004,61.15,35.97,2.88,Ruthless Agression
Rob Van Dam,9,138,89,47,2,2004,64.49,34.06,1.45,Ruthless Agression
Tajiri,10,135,56,78,1,2004,41.48,57.78,0.74,Ruthless Agression
Billy Kidman,11,132,65,62,5,2004,49.24,46.97,3.79,Ruthless Agression
Hurricane Helms,12,130,48,80,2,2004,36.92,61.54,1.54,Ruthless Agression
Charlie Haas,13,129,56,69,4,2004,43.41,53.49,3.1,Ruthless Agression
Mark Jindrak,14,129,72,57,0,2004,55.81,44.19,0.0,Ruthless Agression
Val Venis,15,128,48,78,2,2004,37.5,60.94,1.56,Ruthless Agression
Booker T,16,127,57,68,2,2004,44.88,53.54,1.57,Ruthless Agression
Spike Dudley,17,122,62,60,0,2004,50.82,49.18,0.0,Ruthless Agression
Eddie Guerrero,18,121,76,40,5,2004,62.81,33.06,4.13,Ruthless Agression
Molly Holly,19,119,25,91,3,2004,21.01,76.47,2.52,Ruthless Agression
Nunzio,20,118,38,79,1,2004,32.2,66.95,0.85,Ruthless Agression
Hardcore Holly,21,117,52,65,0,2004,44.44,55.56,0.0,Ruthless Agression
Triple H,22,116,30,83,3,2004,25.86,71.55,2.59,Ruthless Agression
D-Von Dudley,23,115,36,79,0,2004,31.3,68.7,0.0,Ruthless Agression
John Cena,24,115,89,25,1,2004,77.39,21.74,0.87,Ruthless Agression
Kane,25,114,50,59,5,2004,43.86,51.75,4.39,Ruthless Agression
Victoria,26,114,79,32,3,2004,69.3,28.07,2.63,Ruthless Agression
Bubba Ray Dudley,27,112,38,74,0,2004,33.93,66.07,0.0,Ruthless Agression
Sylvain Grenier,28,112,62,50,0,2004,55.36,44.64,0.0,Ruthless Agression
Christian,29,109,24,85,0,2004,22.02,77.98,0.0,Ruthless Agression
Chavo Guerrero,30,106,52,52,2,2004,49.06,49.06,1.89,Ruthless Agression
Chuck Palumbo,31,98,23,75,0,2004,23.47,76.53,0.0,Ruthless Agression
John Bradshaw Layfield,32,97,52,45,0,2004,53.61,46.39,0.0,Ruthless Agression
Paul London,33,96,40,54,2,2004,41.67,56.25,2.08,Ruthless Agression
Doug Basham,34,95,24,71,0,2004,25.26,74.74,0.0,Ruthless Agression
Danny Basham,35,94,25,68,1,2004,26.6,72.34,1.06,Ruthless Agression
Eugene,36,92,60,30,2,2004,65.22,32.61,2.17,Ruthless Agression
Edge,37,90,42,46,2,2004,46.67,51.11,2.22,Ruthless Agression
Rosey,38,90,38,51,1,2004,42.22,56.67,1.11,Ruthless Agression
Rob Conway,39,87,50,37,0,2004,57.47,42.53,0.0,Ruthless Agression
Johnny Stamboli,40,84,38,46,0,2004,45.24,54.76,0.0,Ruthless Agression
Jamie Noble,41,83,16,65,2,2004,19.28,78.31,2.41,Ruthless Agression
Maven,42,82,43,39,0,2004,52.44,47.56,0.0,Ruthless Agression
Garrison Cade,43,79,39,40,0,2004,49.37,50.63,0.0,Ruthless Agression
Funaki,44,77,24,53,0,2004,31.17,68.83,0.0,Ruthless Agression
Scotty 2 Hotty,45,77,39,38,0,2004,50.65,49.35,0.0,Ruthless Agression
Billy Gunn,46,76,33,43,0,2004,43.42,56.58,0.0,Ruthless Agression
Kurt Angle,47,76,20,54,2,2004,26.32,71.05,2.63,Ruthless Agression
Ric Flair,48,76,27,49,0,2004,35.53,64.47,0.0,Ruthless Agression
Rico,49,76,56,20,0,2004,73.68,26.32,0.0,Ruthless Agression
Matt Hardy,50,75,34,38,3,2004,45.33,50.67,4.0,Ruthless Agression
Luther Reigns,51,74,27,44,3,2004,36.49,59.46,4.05,Ruthless Agression
Trish Stratus,52,74,40,33,1,2004,54.05,44.59,1.35,Ruthless Agression
Orlando Jordan,53,73,34,39,0,2004,46.58,53.42,0.0,Ruthless Agression
Steven Richards,54,73,23,48,2,2004,31.51,65.75,2.74,Ruthless Agression
Lita,55,72,37,32,3,2004,51.39,44.44,4.17,Ruthless Agression
The Big Show,56,72,52,19,1,2004,72.22,26.39,1.39,Ruthless Agression
William Regal,57,71,43,28,0,2004,60.56,39.44,0.0,Ruthless Agression
Kenzo Suzuki,58,69,48,21,0,2004,69.57,30.43,0.0,Ruthless Agression
Tyson Tomko,59,68,20,48,0,2004,29.41,70.59,0.0,Ruthless Agression
Shannon Moore,60,60,10,50,0,2004,16.67,83.33,0.0,Ruthless Agression
Akio,61,58,8,49,1,2004,13.79,84.48,1.72,Ruthless Agression
The Undertaker,62,56,51,4,1,2004,91.07,7.14,1.79,Ruthless Agression
Robert Conway,63,55,26,29,0,2004,47.27,52.73,0.0,Ruthless Agression
Jazz,64,49,9,40,0,2004,18.37,81.63,0.0,Ruthless Agression
Shawn Michaels,65,47,30,15,2,2004,63.83,31.91,4.26,Ruthless Agression
Nidia,66,46,22,24,0,2004,47.83,52.17,0.0,Ruthless Agression
Rikishi,67,43,32,11,0,2004,74.42,25.58,0.0,Ruthless Agression
Gene Snitsky,68,41,32,8,1,2004,78.05,19.51,2.44,Ruthless Agression
Shelton Benjamin,1,149,97,49,3,2005,65.1,32.89,2.01,Ruthless Agression
Chris Benoit,2,144,96,41,7,2005,66.67,28.47,4.86,Ruthless Agression
John Cena,3,144,135,7,2,2005,93.75,4.86,1.39,Ruthless Agression
Kurt Angle,4,139,40,95,4,2005,28.78,68.35,2.88,Ruthless Agression
The Big Show,5,132,112,17,3,2005,84.85,12.88,2.27,Ruthless Agression
Rey Mysterio,6,128,91,35,2,2005,71.09,27.34,1.56,Ruthless Agression
Booker T,7,127,84,38,5,2005,66.14,29.92,3.94,Ruthless Agression
Batista,8,126,111,12,3,2005,88.1,9.52,2.38,Ruthless Agression
Orlando Jordan,9,124,35,87,2,2005,28.23,70.16,1.61,Ruthless Agression
Edge,10,123,40,76,7,2005,32.52,61.79,5.69,Ruthless Agression
Chris Masters,11,122,87,34,1,2005,71.31,27.87,0.82,Ruthless Agression
Heidenreich,12,119,76,42,1,2005,63.87,35.29,0.84,Ruthless Agression
John Bradshaw Layfield,13,117,18,94,5,2005,15.38,80.34,4.27,Ruthless Agression
Christian,14,112,16,95,1,2005,14.29,84.82,0.89,Ruthless Agression
Tajiri,15,109,54,53,2,2005,49.54,48.62,1.83,Ruthless Agression
Eddie Guerrero,16,108,42,66,0,2005,38.89,61.11,0.0,Ruthless Agression
Hardcore Holly,17,108,43,65,0,2005,39.81,60.19,0.0,Ruthless Agression
Val Venis,18,108,23,85,0,2005,21.3,78.7,0.0,Ruthless Agression
Paul London,19,107,55,48,4,2005,51.4,44.86,3.74,Ruthless Agression
Victoria,20,107,27,80,0,2005,25.23,74.77,0.0,Ruthless Agression
William Regal,21,107,49,55,3,2005,45.79,51.4,2.8,Ruthless Agression
Kane,22,106,86,17,3,2005,81.13,16.04,2.83,Ruthless Agression
Hurricane Helms,23,99,61,37,1,2005,61.62,37.37,1.01,Ruthless Agression
Triple H,24,99,27,70,2,2005,27.27,70.71,2.02,Ruthless Agression
Shawn Michaels,25,96,71,19,6,2005,73.96,19.79,6.25,Ruthless Agression
Viscera,26,96,52,43,1,2005,54.17,44.79,1.04,Ruthless Agression
Funaki,27,95,28,66,1,2005,29.47,69.47,1.05,Ruthless Agression
Tyson Tomko,28,94,23,71,0,2005,24.47,75.53,0.0,Ruthless Agression
Nunzio,29,92,34,58,0,2005,36.96,63.04,0.0,Ruthless Agression
Randy Orton,30,85,29,54,2,2005,34.12,63.53,2.35,Ruthless Agression
Ric Flair,31,82,31,49,2,2005,37.8,59.76,2.44,Ruthless Agression
Chris Jericho,32,79,33,45,1,2005,41.77,56.96,1.27,Ruthless Agression
Rosey,33,78,56,22,0,2005,71.79,28.21,0.0,Ruthless Agression
Muhammad Hassan,34,77,36,40,1,2005,46.75,51.95,1.3,Ruthless Agression
Carlito,35,74,26,46,2,2005,35.14,62.16,2.7,Ruthless Agression
Scotty 2 Hotty,36,72,15,56,1,2005,20.83,77.78,1.39,Ruthless Agression
Simon Dean,37,70,15,55,0,2005,21.43,78.57,0.0,Ruthless Agression
Chavo Guerrero,38,67,26,38,3,2005,38.81,56.72,4.48,Ruthless Agression
Rob Conway,39,66,34,30,2,2005,51.52,45.45,3.03,Ruthless Agression
Antonio,40,63,8,55,0,2005,12.7,87.3,0.0,Ruthless Agression
Charlie Haas,41,63,20,43,0,2005,31.75,68.25,0.0,Ruthless Agression
Trish Stratus,42,62,57,5,0,2005,91.94,8.06,0.0,Ruthless Agression
Doug Basham,43,61,25,35,1,2005,40.98,57.38,1.64,Ruthless Agression
Rene Dupree,44,61,19,39,3,2005,31.15,63.93,4.92,Ruthless Agression
Romeo,45,60,8,52,0,2005,13.33,86.67,0.0,Ruthless Agression
Gene Snitsky,46,59,6,49,4,2005,10.17,83.05,6.78,Ruthless Agression
Mark Jindrak,47,58,24,33,1,2005,41.38,56.9,1.72,Ruthless Agression
Robert Conway,48,58,10,47,1,2005,17.24,81.03,1.72,Ruthless Agression
Sylvain Grenier,49,58,7,50,1,2005,12.07,86.21,1.72,Ruthless Agression
Super Crazy,50,57,39,17,1,2005,68.42,29.82,1.75,Ruthless Agression
The Undertaker,51,57,50,5,2,2005,87.72,8.77,3.51,Ruthless Agression
Danny Basham,52,56,23,32,1,2005,41.07,57.14,1.79,Ruthless Agression
Mercury,53,55,18,37,0,2005,32.73,67.27,0.0,Ruthless Agression
Road Warrior Animal,54,55,42,13,0,2005,76.36,23.64,0.0,Ruthless Agression
Eugene,55,53,24,28,1,2005,45.28,52.83,1.89,Ruthless Agression
Nitro,56,53,18,35,0,2005,33.96,66.04,0.0,Ruthless Agression
Psicosis,57,53,37,16,0,2005,69.81,30.19,0.0,Ruthless Agression
Snitsky,58,52,18,34,0,2005,34.62,65.38,0.0,Ruthless Agression
Trevor Murdoch,59,52,32,20,0,2005,61.54,38.46,0.0,Ruthless Agression
Spike Dudley,60,51,4,47,0,2005,7.84,92.16,0.0,Ruthless Agression
Lance Cade,61,48,26,22,0,2005,54.17,45.83,0.0,Ruthless Agression
Maven,62,46,8,38,0,2005,17.39,82.61,0.0,Ruthless Agression
Christy Hemme,63,45,39,6,0,2005,86.67,13.33,0.0,Ruthless Agression
Johnny Nitro,64,45,35,10,0,2005,77.78,22.22,0.0,Ruthless Agression
Juventud,65,44,22,21,1,2005,50.0,47.73,2.27,Ruthless Agression
Matt Hardy,66,44,22,19,3,2005,50.0,43.18,6.82,Ruthless Agression
Joey Mercury,67,42,36,6,0,2005,85.71,14.29,0.0,Ruthless Agression
Luther Reigns,68,41,8,32,1,2005,19.51,78.05,2.44,Ruthless Agression
Paul Burchill,69,41,8,32,1,2005,19.51,78.05,2.44,Ruthless Agression
John Cena,1,165,136,26,3,2006,82.42,15.76,1.82,Ruthless Agression
Edge,2,152,36,115,1,2006,23.68,75.66,0.66,Ruthless Agression
Triple H,3,138,90,42,6,2006,65.22,30.43,4.35,Ruthless Agression
Carlito,4,136,62,73,1,2006,45.59,53.68,0.74,Ruthless Agression
Shelton Benjamin,5,130,56,73,1,2006,43.08,56.15,0.77,Ruthless Agression
Finlay,6,124,40,82,2,2006,32.26,66.13,1.61,Ruthless Agression
Rob Van Dam,7,124,82,40,2,2006,66.13,32.26,1.61,Ruthless Agression
Bobby Lashley,8,122,99,20,3,2006,81.15,16.39,2.46,Ruthless Agression
Kane,9,121,79,32,10,2006,65.29,26.45,8.26,Ruthless Agression
Matt Hardy,10,120,66,52,2,2006,55.0,43.33,1.67,Ruthless Agression
The Big Show,11,116,64,48,4,2006,55.17,41.38,3.45,Ruthless Agression
Lance Cade,12,114,35,79,0,2006,30.7,69.3,0.0,Ruthless Agression
Randy Orton,13,111,36,73,2,2006,32.43,65.77,1.8,Ruthless Agression
Brian Kendrick,14,109,72,36,1,2006,66.06,33.03,0.92,Ruthless Agression
Paul London,15,109,71,37,1,2006,65.14,33.94,0.92,Ruthless Agression
Rey Mysterio,16,108,80,23,5,2006,74.07,21.3,4.63,Ruthless Agression
Trevor Murdoch,17,108,32,76,0,2006,29.63,70.37,0.0,Ruthless Agression
Umaga,18,103,65,35,3,2006,63.11,33.98,2.91,Ruthless Agression
Mickie James,19,102,61,40,1,2006,59.8,39.22,0.98,Ruthless Agression
Shawn Michaels,20,102,80,16,6,2006,78.43,15.69,5.88,Ruthless Agression
Hurricane Helms,21,100,55,41,4,2006,55.0,41.0,4.0,Ruthless Agression
Viscera,22,93,26,64,3,2006,27.96,68.82,3.23,Ruthless Agression
Chris Benoit,23,90,73,16,1,2006,81.11,17.78,1.11,Ruthless Agression
Kenny,24,90,26,60,4,2006,28.89,66.67,4.44,Ruthless Agression
Mikey,25,90,25,62,3,2006,27.78,68.89,3.33,Ruthless Agression
Super Crazy,26,87,36,49,2,2006,41.38,56.32,2.3,Ruthless Agression
Chris Masters,27,85,11,73,1,2006,12.94,85.88,1.18,Ruthless Agression
Johnny Nitro,28,85,36,49,0,2006,42.35,57.65,0.0,Ruthless Agression
Victoria,29,85,22,63,0,2006,25.88,74.12,0.0,Ruthless Agression
Funaki,30,84,21,58,5,2006,25.0,69.05,5.95,Ruthless Agression
Mark Henry,31,84,17,65,2,2006,20.24,77.38,2.38,Ruthless Agression
Snitsky,32,82,32,50,0,2006,39.02,60.98,0.0,Ruthless Agression
Eugene,33,80,26,54,0,2006,32.5,67.5,0.0,Ruthless Agression
Ric Flair,34,79,63,16,0,2006,79.75,20.25,0.0,Ruthless Agression
William Regal,35,79,12,67,0,2006,15.19,84.81,0.0,Ruthless Agression
Robbie McAllister,36,77,56,20,1,2006,72.73,25.97,1.3,Ruthless Agression
Rory McAllister,37,77,56,20,1,2006,72.73,25.97,1.3,Ruthless Agression
Chavo Guerrero,38,76,29,46,1,2006,38.16,60.53,1.32,Ruthless Agression
Sabu,39,75,38,35,2,2006,50.67,46.67,2.67,Ruthless Agression
Mr. Kennedy,40,73,34,37,2,2006,46.58,50.68,2.74,Ruthless Agression
Tatanka,41,73,26,44,3,2006,35.62,60.27,4.11,Ruthless Agression
Batista,42,72,63,8,1,2006,87.5,11.11,1.39,Ruthless Agression
Jamie Noble,43,72,19,53,0,2006,26.39,73.61,0.0,Ruthless Agression
Kurt Angle,44,71,45,24,2,2006,63.38,33.8,2.82,Ruthless Agression
Rob Conway,45,69,4,65,0,2006,5.8,94.2,0.0,Ruthless Agression
CM Punk,46,68,64,2,2,2006,94.12,2.94,2.94,Ruthless Agression
Johnny,47,68,24,41,3,2006,35.29,60.29,4.41,Ruthless Agression
Test,48,67,33,33,1,2006,49.25,49.25,1.49,Ruthless Agression
Torrie Wilson,49,67,30,37,0,2006,44.78,55.22,0.0,Ruthless Agression
Nicky,50,65,22,40,3,2006,33.85,61.54,4.62,Ruthless Agression
Vito,51,65,48,17,0,2006,73.85,26.15,0.0,Ruthless Agression
Booker T,52,64,14,50,0,2006,21.88,78.12,0.0,Ruthless Agression
Tommy Dreamer,53,64,30,34,0,2006,46.88,53.12,0.0,Ruthless Agression
Kid Kash,54,63,20,42,1,2006,31.75,66.67,1.59,Ruthless Agression
Jeff Hardy,55,62,36,26,0,2006,58.06,41.94,0.0,Ruthless Agression
Matt Striker,56,62,20,42,0,2006,32.26,67.74,0.0,Ruthless Agression
The Undertaker,57,62,48,9,5,2006,77.42,14.52,8.06,Ruthless Agression
Sylvan,58,61,13,47,1,2006,21.31,77.05,1.64,Ruthless Agression
Trish Stratus,59,61,30,30,1,2006,49.18,49.18,1.64,Ruthless Agression
Val Venis,60,61,15,46,0,2006,24.59,75.41,0.0,Ruthless Agression
Charlie Haas,61,60,17,40,3,2006,28.33,66.67,5.0,Ruthless Agression
Mike Knox,62,60,15,45,0,2006,25.0,75.0,0.0,Ruthless Agression
Mercury,63,54,35,18,1,2006,64.81,33.33,1.85,Ruthless Agression
Nitro,64,54,35,18,1,2006,64.81,33.33,1.85,Ruthless Agression
Candice Michelle,65,52,20,32,0,2006,38.46,61.54,0.0,Ruthless Agression
Scotty 2 Hotty,66,49,9,39,1,2006,18.37,79.59,2.04,Ruthless Agression
Maria,67,47,21,25,1,2006,44.68,53.19,2.13,Ruthless Agression
The Sandman,68,46,34,12,0,2006,73.91,26.09,0.0,Ruthless Agression
Kevin Thorn,69,45,20,25,0,2006,44.44,55.56,0.0,Ruthless Agression
Booker T,70,44,4,40,0,2006,9.09,90.91,0.0,Ruthless Agression
Goldust,71,44,21,23,0,2006,47.73,52.27,0.0,Ruthless Agression
Hardcore Holly,72,44,12,30,2,2006,27.27,68.18,4.55,Ruthless Agression
Little Guido,73,42,19,23,0,2006,45.24,54.76,0.0,Ruthless Agression
Psicosis,74,42,7,34,1,2006,16.67,80.95,2.38,Ruthless Agression
Rene Dupree,75,42,3,39,0,2006,7.14,92.86,0.0,Ruthless Agression
Balls Mahoney,76,41,15,26,0,2006,36.59,63.41,0.0,Ruthless Agression
John Bradshaw Layfield,77,41,12,28,1,2006,29.27,68.29,2.44,Ruthless Agression
KC James,78,41,5,35,1,2006,12.2,85.37,2.44,Ruthless Agression
Simon Dean,79,41,2,38,1,2006,4.88,92.68,2.44,Ruthless Agression
Batista,1,158,134,18,6,2007,84.81,11.39,3.8,Ruthless Agression
Jeff Hardy,2,149,108,38,3,2007,72.48,25.5,2.01,Ruthless Agression
Montel Vontavious Porter,3,146,49,95,2,2007,33.56,65.07,1.37,Ruthless Agression
Finlay,4,139,29,103,7,2007,20.86,74.1,5.04,Ruthless Agression
Randy Orton,5,139,36,100,3,2007,25.9,71.94,2.16,Ruthless Agression
CM Punk,6,138,107,31,0,2007,77.54,22.46,0.0,Ruthless Agression
Kane,7,138,110,20,8,2007,79.71,14.49,5.8,Ruthless Agression
Carlito,8,132,46,82,4,2007,34.85,62.12,3.03,Ruthless Agression
Mr. Kennedy,9,129,41,85,3,2007,31.78,65.89,2.33,Ruthless Agression
Lance Cade,10,128,60,68,0,2007,46.88,53.12,0.0,Ruthless Agression
Umaga,11,128,40,86,2,2007,31.25,67.19,1.56,Ruthless Agression
Tommy Dreamer,12,126,55,71,0,2007,43.65,56.35,0.0,Ruthless Agression
Trevor Murdoch,13,126,59,67,0,2007,46.83,53.17,0.0,Ruthless Agression
Matt Hardy,14,125,85,37,3,2007,68.0,29.6,2.4,Ruthless Agression
John Cena,15,115,98,13,4,2007,85.22,11.3,3.48,Ruthless Agression
The Great Khali,16,115,39,69,7,2007,33.91,60.0,6.09,Ruthless Agression
Brian Kendrick,17,110,44,65,1,2007,40.0,59.09,0.91,Ruthless Agression
Elijah Burke,18,110,36,74,0,2007,32.73,67.27,0.0,Ruthless Agression
Mickie James,19,105,54,50,1,2007,51.43,47.62,0.95,Ruthless Agression
Paul London,20,104,43,60,1,2007,41.35,57.69,0.96,Ruthless Agression
Melina,21,102,47,55,0,2007,46.08,53.92,0.0,Ruthless Agression
Super Crazy,22,99,45,53,1,2007,45.45,53.54,1.01,Ruthless Agression
Deuce,23,98,43,54,1,2007,43.88,55.1,1.02,Ruthless Agression
Kenny Dykstra,24,96,15,81,0,2007,15.62,84.38,0.0,Ruthless Agression
Domino,25,94,41,53,0,2007,43.62,56.38,0.0,Ruthless Agression
Jimmy Wang Yang,26,93,42,50,1,2007,45.16,53.76,1.08,Ruthless Agression
Shelton Benjamin,27,93,23,69,1,2007,24.73,74.19,1.08,Ruthless Agression
Chavo Guerrero,28,86,34,52,0,2007,39.53,60.47,0.0,Ruthless Agression
Kevin Thorn,29,84,26,58,0,2007,30.95,69.05,0.0,Ruthless Agression
Charlie Haas,30,82,18,63,1,2007,21.95,76.83,1.22,Ruthless Agression
Chuck Palumbo,31,82,65,17,0,2007,79.27,20.73,0.0,Ruthless Agression
Val Venis,32,81,35,46,0,2007,43.21,56.79,0.0,Ruthless Agression
Chris Masters,33,80,22,58,0,2007,27.5,72.5,0.0,Ruthless Agression
Victoria,34,80,14,65,1,2007,17.5,81.25,1.25,Ruthless Agression
William Regal,35,80,29,50,1,2007,36.25,62.5,1.25,Ruthless Agression
Edge,36,79,21,56,2,2007,26.58,70.89,2.53,Ruthless Agression
The Undertaker,37,79,68,7,4,2007,86.08,8.86,5.06,Ruthless Agression
Cody Rhodes,38,77,51,26,0,2007,66.23,33.77,0.0,Ruthless Agression
Bobby Lashley,39,76,64,9,3,2007,84.21,11.84,3.95,Ruthless Agression
